"Age","Workclass","Education","Occupation","Relationship","Race","Capital-gain","Capital-loss","Hours-per-week","Country","Outcome","Predicted outcome"
46,"Private","HS-grad","Exec-managerial","Unmarried","White",0,0,47,"United-States",">50K","<=50K"
37,"Private","HS-grad","Machine-op-inspct","Husband","Black",0,0,58,"United-States","<=50K","<=50K"
22,"Gov","No-school","Adm-clerical","Own-child","White",0,0,58,"United-States","<=50K","<=50K"
40,"Private","College","Handlers-cleaners","Unmarried","White",0,0,15,"United-States","<=50K","<=50K"
37,"Private","College","Other-service","Husband","White",0,0,44,"United-States","<=50K","<=50K"
31,"Private","HS-grad","Craft-repair","Own-child","Black",0,0,38,"England",">50K","<=50K"
43,"Private","College","Tech-support","Unmarried","White",0,1740,44,"United-States","<=50K","<=50K"
45,"Private","College","Craft-repair","Husband","White",0,0,34,"India","<=50K","<=50K"
40,"Private","Bachelors","Exec-managerial","Unmarried","Black",0,0,37,"Vietnam",">50K",">50K"
48,"Self-emp","College","Craft-repair","Not-in-family","White",0,0,45,"United-States","<=50K","<=50K"
39,"Private","College","Other-service","Husband","White",0,0,31,"United-States","<=50K","<=50K"
59,"Private","College","Exec-managerial","Not-in-family","Black",2174,1902,41,"United-States",">50K","<=50K"
60,"Private","HS-grad","Adm-clerical","Husband","White",7298,0,47,"United-States",">50K","<=50K"
29,"Self-emp","College","Prof-specialty","Own-child","White",0,0,32,"Cuba",">50K","<=50K"
52,"Self-emp","No-school","Exec-managerial","Unmarried","White",0,0,72,"Vietnam","<=50K","<=50K"
67,"Self-emp","No-school","Tech-support","Own-child","White",0,0,50,"United-States","<=50K","<=50K"
50,"Private","HS-grad","Transport-moving","Own-child","White",0,0,39,"United-States","<=50K","<=50K"
17,"Private","HS-grad","Exec-managerial","Not-in-family","White",0,0,27,"Mexico","<=50K","<=50K"
17,"Private","HS-grad","Handlers-cleaners","Husband","White",7688,0,43,"United-States","<=50K","<=50K"
49,"Private","HS-grad","Adm-clerical","Husband","White",0,0,28,"United-States","<=50K","<=50K"
39,"Gov","HS-grad","Adm-clerical","Husband","White",0,0,46,"United-States","<=50K","<=50K"
48,"Private","No-school","Exec-managerial","Wife","White",0,0,19,"United-States","<=50K","<=50K"
43,"Self-emp","No-school","Prof-specialty","Wife","White",0,0,30,"Mexico","<=50K","<=50K"
78,"Private","Bachelors","Exec-managerial","Husband","White",0,1902,39,"United-States","<=50K",">50K"
24,"Gov","Prof-school","Other-service","Husband","White",0,0,51,"United-States","<=50K","<=50K"
24,"Private","Bachelors","Craft-repair","Wife","Black",0,0,58,"Mexico","<=50K","<=50K"
53,"Private","No-school","Craft-repair","Husband","White",0,0,29,"United-States","<=50K","<=50K"
24,"Private","HS-grad","Tech-support","Unmarried","White",0,0,40,"United-States","<=50K","<=50K"
38,"Private","College","Sales","Own-child","White",0,0,48,"United-States","<=50K","<=50K"
44,"Private","No-school","Craft-repair","Wife","White",0,0,36,"United-States","<=50K","<=50K"
34,"Gov","Bachelors","Craft-repair","Wife","White",0,0,37,"United-States","<=50K","<=50K"
40,"Gov","HS-grad","Craft-repair","Husband","White",7298,0,37,"Poland","<=50K","<=50K"
33,"Private","HS-grad","Prof-specialty","Husband","White",0,0,14,"United-States","<=50K","<=50K"
46,"Private","College","Craft-repair","Not-in-family","White",2174,0,25,"United-States",">50K","<=50K"
29,"Private","HS-grad","Prof-specialty","Husband","White",0,0,37,"United-States","<=50K","<=50K"
64,"Private","HS-grad","Prof-specialty","Wife","White",0,0,59,"United-States","<=50K","<=50K"
27,"Private","College","Other-service","Not-in-family","White",0,0,37,"United-States","<=50K","<=50K"
38,"Self-emp","HS-grad","Other-service","Husband","White",0,0,39,"United-States","<=50K","<=50K"
28,"Private","No-school","Sales","Unmarried","White",0,0,53,"United-States","<=50K","<=50K"
41,"Gov","College","Craft-repair","Unmarried","White",0,0,50,"United-States","<=50K","<=50K"
18,"Private","College","Exec-managerial","Husband","White",0,0,33,"United-States","<=50K","<=50K"
35,"Self-emp","HS-grad","Craft-repair","Wife","Black",0,1902,33,"United-States","<=50K","<=50K"
53,"Private","College","Other-service","Husband","White",0,0,14,"United-States","<=50K","<=50K"
73,"Private","HS-grad","Prof-specialty","Husband","White",4386,0,47,"United-States","<=50K","<=50K"
46,"Private","HS-grad","Exec-managerial","Not-in-family","White",0,0,29,"United-States","<=50K","<=50K"
40,"Private","HS-grad","Craft-repair","Husband","White",0,0,35,"United-States","<=50K","<=50K"
17,"Private","College","Prof-specialty","Not-in-family","White",0,0,42,"United-States","<=50K","<=50K"
47,"Private","HS-grad","Other-service","Husband","White",0,0,35,"United-States",">50K","<=50K"
49,"Private","HS-grad","Sales","Husband","White",0,0,26,"United-States","<=50K","<=50K"
27,"Self-emp","HS-grad","Transport-moving","Wife","White",0,0,42,"United-States","<=50K","<=50K"
29,"Private","No-school","Other-service","Unmarried","White",0,0,28,"United-States","<=50K","<=50K"
42,"Private","No-school","Transport-moving","Husband","Asian-Pac-Islander",0,0,56,"United-States","<=50K","<=50K"
46,"Private","HS-grad","Transport-moving","Husband","White",0,0,40,"United-States","<=50K","<=50K"
48,"Private","Bachelors","Transport-moving","Husband","White",0,0,15,"United-States","<=50K","<=50K"
34,"Private","HS-grad","Other-service","Husband","Black",4386,0,47,"United-States",">50K","<=50K"
29,"Gov","HS-grad","Adm-clerical","Not-in-family","White",0,0,49,"United-States","<=50K","<=50K"
38,"Private","College","Handlers-cleaners","Own-child","White",0,0,36,"United-States","<=50K","<=50K"
34,"Private","HS-grad","Farming-fishing","Husband","Amer-Indian-Eskimo",0,0,29,"United-States",">50K","<=50K"
43,"Gov","No-school","Machine-op-inspct","Not-in-family","White",0,0,38,"United-States","<=50K","<=50K"
29,"Private","College","Craft-repair","Husband","Black",0,0,39,"United-States","<=50K","<=50K"
46,"Private","No-school","Sales","Not-in-family","White",0,0,23,"Iran",">50K","<=50K"
37,"Private","Bachelors","Transport-moving","Wife","White",0,0,29,"United-States",">50K","<=50K"
38,"Private","Prof-school","Craft-repair","Husband","White",0,0,25,"United-States","<=50K","<=50K"
25,"Private","No-school","Sales","Husband","White",0,0,43,"United-States","<=50K","<=50K"
42,"Private","College","Exec-managerial","Husband","Amer-Indian-Eskimo",0,0,32,"United-States",">50K","<=50K"
30,"Private","HS-grad","Sales","Not-in-family","White",0,0,35,"United-States","<=50K","<=50K"
37,"Private","HS-grad","Sales","Unmarried","Black",0,1740,21,"United-States","<=50K","<=50K"
60,"Private","HS-grad","Exec-managerial","Not-in-family","White",0,0,52,"India","<=50K","<=50K"
34,"Private","Bachelors","Transport-moving","Own-child","White",0,0,42,"United-States","<=50K","<=50K"
48,"Private","Masters","Exec-managerial","Own-child","White",4386,0,38,"United-States",">50K",">50K"
49,"Self-emp","Bachelors","Farming-fishing","Wife","White",0,0,29,"United-States","<=50K","<=50K"
38,"Private","Bachelors","Machine-op-inspct","Husband","Black",0,0,45,"United-States",">50K",">50K"
37,"Private","College","Other-service","Husband","White",0,2415,37,"United-States","<=50K","<=50K"
17,"Self-emp","HS-grad","Machine-op-inspct","Own-child","White",0,0,26,"United-States","<=50K","<=50K"
32,"Private","College","Exec-managerial","Not-in-family","White",0,0,31,"Mexico","<=50K","<=50K"
45,"Private","Bachelors","Farming-fishing","Husband","White",0,0,4,"England","<=50K","<=50K"
54,"Private","Masters","Transport-moving","Husband","Black",0,0,36,"Philippines",">50K",">50K"
44,"Self-emp","HS-grad","Craft-repair","Other-relative","White",7688,0,29,"United-States","<=50K","<=50K"
38,"Private","No-school","Sales","Husband","White",0,0,37,"United-States","<=50K","<=50K"
17,"Private","College","Other-service","Unmarried","White",0,0,52,"United-States","<=50K","<=50K"
20,"Private","Bachelors","Transport-moving","Own-child","Black",99999,0,34,"United-States",">50K","<=50K"
41,"Gov","HS-grad","Sales","Not-in-family","White",0,0,23,"Philippines",">50K","<=50K"
28,"Private","College","Craft-repair","Other-relative","Black",0,0,35,"United-States","<=50K","<=50K"
28,"Private","Bachelors","Sales","Husband","White",99999,0,19,"United-States",">50K",">50K"
55,"Private","Masters","Exec-managerial","Not-in-family","White",0,0,40,"United-States","<=50K",">50K"
17,"Private","College","Machine-op-inspct","Husband","Black",0,0,37,"United-States","<=50K","<=50K"
32,"Private","HS-grad","Transport-moving","Own-child","White",0,0,48,"United-States","<=50K","<=50K"
43,"Private","No-school","Adm-clerical","Not-in-family","White",0,0,43,"United-States","<=50K","<=50K"
37,"Self-emp","HS-grad","Adm-clerical","Husband","White",0,0,49,"United-States","<=50K","<=50K"
34,"Private","HS-grad","Craft-repair","Husband","White",0,0,19,"United-States","<=50K","<=50K"
42,"Private","No-school","Prof-specialty","Husband","White",0,0,49,"Mexico","<=50K","<=50K"
25,"Private","HS-grad","Exec-managerial","Own-child","Black",0,0,38,"United-States","<=50K","<=50K"
35,"Gov","College","Craft-repair","Unmarried","White",0,0,45,"United-States",">50K","<=50K"
17,"Gov","College","Other-service","Unmarried","White",0,0,47,"United-States","<=50K","<=50K"
30,"Private","HS-grad","Machine-op-inspct","Husband","Black",0,0,33,"Poland","<=50K","<=50K"
23,"Self-emp","Bachelors","Adm-clerical","Wife","White",0,0,36,"United-States","<=50K","<=50K"
28,"Private","HS-grad","Protective-serv","Not-in-family","White",0,0,46,"United-States","<=50K","<=50K"
30,"Self-emp","Masters","Transport-moving","Other-relative","White",0,0,46,"United-States","<=50K",">50K"
38,"Self-emp","Masters","Handlers-cleaners","Own-child","White",0,0,39,"United-States",">50K",">50K"
25,"Self-emp","HS-grad","Handlers-cleaners","Husband","White",0,0,34,"United-States",">50K","<=50K"
27,"Gov","HS-grad","Adm-clerical","Not-in-family","White",0,0,23,"United-States","<=50K","<=50K"
37,"Private","College","Adm-clerical","Own-child","Amer-Indian-Eskimo",0,0,38,"Italy","<=50K","<=50K"
62,"Private","College","Prof-specialty","Unmarried","White",0,0,50,"Germany",">50K","<=50K"
24,"Private","Bachelors","Prof-specialty","Own-child","White",0,0,28,"United-States","<=50K","<=50K"
31,"Private","College","Adm-clerical","Husband","Black",0,0,64,"Mexico","<=50K","<=50K"
39,"Private","No-school","Prof-specialty","Husband","White",0,0,43,"United-States","<=50K","<=50K"
54,"Self-emp","College","Exec-managerial","Husband","White",99999,0,31,"Puerto-Rico","<=50K",">50K"
32,"Self-emp","College","Prof-specialty","Husband","White",0,0,46,"United-States","<=50K","<=50K"
48,"Private","Bachelors","Craft-repair","Own-child","White",2174,0,53,"United-States","<=50K","<=50K"
43,"Private","HS-grad","Adm-clerical","Own-child","White",0,0,37,"United-States","<=50K","<=50K"
25,"Private","Bachelors","Other-service","Unmarried","White",0,0,27,"United-States","<=50K","<=50K"
23,"Private","HS-grad","Exec-managerial","Husband","White",0,0,38,"United-States","<=50K","<=50K"
33,"Private","College","Adm-clerical","Husband","White",0,0,38,"Germany","<=50K","<=50K"
58,"Private","College","Craft-repair","Not-in-family","White",0,0,28,"United-States","<=50K","<=50K"
51,"Private","College","Prof-specialty","Unmarried","White",0,0,41,"Iran",">50K","<=50K"
41,"Private","College","Prof-specialty","Husband","Black",0,0,64,"United-States",">50K","<=50K"
17,"Gov","College","Sales","Husband","White",7298,0,42,"United-States",">50K","<=50K"
57,"Private","Bachelors","Prof-specialty","Not-in-family","White",99999,0,15,"United-States",">50K",">50K"
41,"Self-emp","No-school","Adm-clerical","Husband","White",0,0,36,"United-States","<=50K","<=50K"
51,"Gov","Bachelors","Prof-specialty","Own-child","White",0,0,47,"Germany","<=50K",">50K"
18,"Private","College","Other-service","Other-relative","White",0,0,49,"United-States","<=50K","<=50K"
17,"Private","Bachelors","Machine-op-inspct","Own-child","White",0,0,50,"United-States","<=50K","<=50K"
37,"Gov","HS-grad","Sales","Not-in-family","White",0,0,43,"United-States","<=50K","<=50K"
36,"Private","Bachelors","Craft-repair","Other-relative","White",0,0,39,"United-States","<=50K","<=50K"
30,"Private","No-school","Sales","Not-in-family","White",0,1740,30,"United-States","<=50K","<=50K"
47,"Private","HS-grad","Craft-repair","Own-child","White",0,0,41,"United-States","<=50K","<=50K"
54,"Private","College","Exec-managerial","Not-in-family","White",0,0,33,"United-States","<=50K","<=50K"
17,"Self-emp","College","Exec-managerial","Husband","White",99999,0,39,"United-States",">50K",">50K"
38,"Private","College","Craft-repair","Husband","Black",0,0,46,"United-States",">50K","<=50K"
38,"Private","HS-grad","Adm-clerical","Other-relative","Asian-Pac-Islander",0,0,34,"United-States","<=50K","<=50K"
52,"Private","Bachelors","Adm-clerical","Husband","Black",0,0,24,"United-States","<=50K","<=50K"
57,"Private","HS-grad","Handlers-cleaners","Not-in-family","Asian-Pac-Islander",0,0,53,"United-States","<=50K","<=50K"
42,"Private","Doctorate","Adm-clerical","Other-relative","White",0,0,53,"United-States",">50K",">50K"
39,"Private","Bachelors","Other-service","Husband","White",0,1740,38,"Philippines","<=50K","<=50K"
25,"Private","Bachelors","Prof-specialty","Unmarried","White",3103,0,34,"United-States",">50K","<=50K"
44,"Private","No-school","Tech-support","Not-in-family","White",0,0,35,"United-States","<=50K","<=50K"
39,"Self-emp","HS-grad","Prof-specialty","Own-child","White",0,0,29,"United-States","<=50K","<=50K"
47,"Private","Bachelors","Adm-clerical","Husband","Black",0,0,42,"France",">50K","<=50K"
36,"Private","Masters","Prof-specialty","Not-in-family","White",0,0,36,"United-States",">50K",">50K"
23,"Self-emp","College","Transport-moving","Not-in-family","White",0,0,47,"United-States","<=50K","<=50K"
48,"Private","No-school","Exec-managerial","Husband","White",0,0,43,"United-States",">50K","<=50K"
33,"Private","HS-grad","Adm-clerical","Husband","White",0,0,57,"United-States","<=50K","<=50K"
37,"Private","HS-grad","Adm-clerical","Own-child","Black",0,0,58,"United-States","<=50K","<=50K"
23,"Gov","Bachelors","Exec-managerial","Husband","Other",0,0,60,"United-States",">50K",">50K"
28,"Private","Bachelors","Handlers-cleaners","Not-in-family","White",0,0,36,"United-States","<=50K","<=50K"
50,"Private","College","Adm-clerical","Unmarried","White",0,0,46,"United-States","<=50K","<=50K"
47,"Private","No-school","Craft-repair","Husband","Black",0,0,44,"United-States","<=50K","<=50K"
50,"Private","College","Priv-house-serv","Not-in-family","White",0,0,38,"United-States","<=50K","<=50K"
38,"Private","College","Transport-moving","Husband","White",0,0,52,"United-States","<=50K","<=50K"
49,"Private","No-school","Other-service","Husband","White",0,0,34,"United-States","<=50K","<=50K"
43,"Private","Bachelors","Sales","Own-child","Other",0,0,47,"Germany","<=50K","<=50K"
17,"Private","No-school","Prof-specialty","Husband","White",0,0,33,"United-States","<=50K","<=50K"
34,"Gov","College","Prof-specialty","Husband","White",0,0,35,"United-States","<=50K","<=50K"
36,"Private","Bachelors","Armed-Forces","Not-in-family","White",0,0,24,"United-States","<=50K","<=50K"
33,"Private","College","Craft-repair","Not-in-family","Black",0,0,47,"United-States","<=50K","<=50K"
19,"Gov","College","Exec-managerial","Not-in-family","White",0,0,43,"United-States","<=50K","<=50K"
18,"Private","Doctorate","Prof-specialty","Own-child","White",15024,1887,39,"United-States",">50K",">50K"
17,"Private","College","Craft-repair","Husband","Black",0,0,38,"China","<=50K","<=50K"
48,"Gov","HS-grad","Prof-specialty","Not-in-family","White",0,0,27,"United-States","<=50K","<=50K"
29,"Private","College","Sales","Husband","White",7298,0,51,"United-States","<=50K","<=50K"
50,"Private","College","Exec-managerial","Husband","Asian-Pac-Islander",7298,0,31,"United-States","<=50K","<=50K"
50,"Private","No-school","Transport-moving","Husband","White",0,0,50,"United-States","<=50K","<=50K"
51,"Gov","No-school","Exec-managerial","Own-child","White",0,0,35,"United-States","<=50K","<=50K"
29,"Gov","College","Handlers-cleaners","Not-in-family","White",0,0,53,"United-States","<=50K","<=50K"
24,"Private","College","Tech-support","Unmarried","White",0,0,27,"Germany","<=50K","<=50K"
60,"Private","No-school","Exec-managerial","Husband","White",0,0,41,"United-States","<=50K","<=50K"
44,"Private","College","Sales","Not-in-family","White",0,0,19,"United-States","<=50K","<=50K"
36,"Private","HS-grad","Machine-op-inspct","Husband","White",0,0,33,"United-States",">50K","<=50K"
32,"Private","College","Handlers-cleaners","Unmarried","White",0,0,24,"United-States","<=50K","<=50K"
40,"Private","HS-grad","Adm-clerical","Not-in-family","White",0,0,32,"United-States","<=50K","<=50K"
51,"Gov","Masters","Other-service","Husband","White",0,0,35,"United-States",">50K",">50K"
56,"Private","No-school","Handlers-cleaners","Husband","White",5178,0,34,"United-States","<=50K","<=50K"
27,"Private","No-school","Adm-clerical","Husband","White",0,0,46,"United-States","<=50K","<=50K"
37,"Private","College","Exec-managerial","Not-in-family","White",3103,0,36,"United-States","<=50K","<=50K"
37,"Private","Masters","Craft-repair","Wife","White",0,0,29,"United-States",">50K","<=50K"
33,"Private","College","Sales","Not-in-family","White",0,0,40,"United-States","<=50K","<=50K"
43,"Gov","College","Machine-op-inspct","Own-child","White",0,0,48,"United-States","<=50K","<=50K"
20,"Gov","HS-grad","Handlers-cleaners","Not-in-family","White",0,0,37,"United-States","<=50K","<=50K"
52,"Private","No-school","Exec-managerial","Husband","White",0,0,33,"France","<=50K","<=50K"
51,"Private","HS-grad","Machine-op-inspct","Not-in-family","White",0,1740,46,"United-States","<=50K","<=50K"
37,"Private","HS-grad","Sales","Husband","White",0,0,45,"United-States","<=50K","<=50K"
20,"Private","No-school","Machine-op-inspct","Husband","White",0,0,31,"United-States","<=50K","<=50K"
24,"Private","No-school","Tech-support","Own-child","White",0,0,26,"United-States","<=50K","<=50K"
17,"Gov","College","Adm-clerical","Unmarried","White",0,2415,35,"United-States","<=50K","<=50K"
30,"Private","HS-grad","Handlers-cleaners","Husband","White",0,0,44,"France","<=50K","<=50K"
21,"Private","HS-grad","Craft-repair","Not-in-family","Black",0,0,27,"United-States","<=50K","<=50K"
50,"Private","College","Tech-support","Husband","White",0,0,43,"Poland",">50K","<=50K"
28,"Private","College","Exec-managerial","Husband","White",0,0,44,"United-States","<=50K","<=50K"
46,"Self-emp","College","Prof-specialty","Own-child","White",0,0,41,"Japan","<=50K","<=50K"
17,"Private","Masters","Machine-op-inspct","Husband","White",0,0,43,"United-States",">50K",">50K"
51,"Private","HS-grad","Machine-op-inspct","Not-in-family","Black",0,0,47,"United-States","<=50K","<=50K"
30,"Private","College","Sales","Not-in-family","White",0,1573,21,"United-States","<=50K","<=50K"
52,"Private","No-school","Prof-specialty","Unmarried","White",0,0,37,"United-States","<=50K","<=50K"
17,"Private","HS-grad","Other-service","Not-in-family","White",0,0,28,"United-States","<=50K","<=50K"
57,"Private","HS-grad","Adm-clerical","Unmarried","White",0,0,60,"United-States","<=50K","<=50K"
45,"Private","Bachelors","Prof-specialty","Own-child","Asian-Pac-Islander",0,0,29,"United-States",">50K","<=50K"
59,"Private","No-school","Adm-clerical","Not-in-family","White",0,0,33,"United-States","<=50K","<=50K"
34,"Private","HS-grad","Craft-repair","Not-in-family","White",0,0,50,"United-States","<=50K","<=50K"
18,"Self-emp","No-school","Adm-clerical","Husband","White",0,0,43,"United-States","<=50K","<=50K"
24,"Self-emp","HS-grad","Sales","Own-child","White",0,0,31,"United-States","<=50K","<=50K"
22,"Self-emp","College","Protective-serv","Unmarried","White",0,0,41,"United-States","<=50K","<=50K"
17,"Private","No-school","Transport-moving","Other-relative","White",0,0,39,"United-States","<=50K","<=50K"
36,"Private","Bachelors","Sales","Other-relative","Black",3103,0,45,"United-States","<=50K",">50K"
45,"Private","Bachelors","Craft-repair","Husband","White",0,0,64,"United-States","<=50K","<=50K"
28,"Private","Bachelors","Tech-support","Wife","White",0,0,36,"United-States","<=50K","<=50K"
41,"Private","HS-grad","Craft-repair","Not-in-family","Black",0,0,36,"United-States","<=50K","<=50K"
23,"Gov","College","Prof-specialty","Not-in-family","White",0,0,44,"United-States","<=50K","<=50K"
27,"Self-emp","No-school","Exec-managerial","Not-in-family","White",0,0,40,"United-States",">50K","<=50K"
51,"Private","Masters","Prof-specialty","Not-in-family","White",0,0,21,"United-States",">50K",">50K"
47,"Private","No-school","Other-service","Own-child","White",5178,0,43,"England","<=50K","<=50K"
53,"Private","HS-grad","Exec-managerial","Husband","White",0,0,63,"United-States","<=50K","<=50K"
17,"Private","No-school","Handlers-cleaners","Unmarried","White",0,0,44,"Poland","<=50K","<=50K"
31,"Private","College","Other-service","Other-relative","White",0,0,63,"United-States","<=50K","<=50K"
25,"Private","HS-grad","Adm-clerical","Husband","White",7688,0,45,"United-States","<=50K","<=50K"
39,"Private","College","Sales","Not-in-family","Black",0,0,59,"United-States",">50K","<=50K"
37,"Private","HS-grad","Craft-repair","Husband","White",0,0,15,"United-States","<=50K","<=50K"
35,"Self-emp","College","Machine-op-inspct","Husband","Black",0,0,32,"United-States",">50K","<=50K"
58,"Private","Masters","Other-service","Unmarried","White",0,0,38,"Canada",">50K",">50K"
54,"Private","No-school","Farming-fishing","Not-in-family","White",0,0,42,"United-States",">50K","<=50K"
30,"Private","HS-grad","Prof-specialty","Unmarried","White",0,0,28,"United-States","<=50K","<=50K"
49,"Private","No-school","Exec-managerial","Not-in-family","White",0,0,46,"United-States","<=50K","<=50K"
25,"Private","College","Prof-specialty","Husband","White",0,0,38,"United-States","<=50K","<=50K"
49,"Private","HS-grad","Adm-clerical","Not-in-family","White",0,0,47,"United-States","<=50K","<=50K"
28,"Private","HS-grad","Prof-specialty","Husband","Amer-Indian-Eskimo",0,0,48,"Vietnam","<=50K","<=50K"
45,"Private","HS-grad","Adm-clerical","Husband","White",0,0,39,"United-States",">50K","<=50K"
39,"Private","Bachelors","Adm-clerical","Wife","Black",4386,2415,50,"United-States",">50K","<=50K"
63,"Private","HS-grad","Transport-moving","Unmarried","White",0,0,32,"Vietnam","<=50K","<=50K"
46,"Private","College","Protective-serv","Wife","Black",0,0,48,"United-States","<=50K","<=50K"
38,"Private","No-school","Handlers-cleaners","Own-child","White",0,0,38,"United-States",">50K","<=50K"
24,"Gov","HS-grad","Sales","Unmarried","White",0,0,40,"United-States","<=50K","<=50K"
20,"Self-emp","College","Machine-op-inspct","Husband","White",0,0,48,"United-States","<=50K","<=50K"
31,"Private","No-school","Exec-managerial","Not-in-family","White",7298,0,37,"United-States","<=50K","<=50K"
20,"Private","HS-grad","Other-service","Husband","White",0,0,42,"United-States",">50K","<=50K"
34,"Private","Masters","Other-service","Own-child","White",0,0,43,"United-States","<=50K",">50K"
38,"Private","College","Prof-specialty","Husband","White",0,0,28,"United-States",">50K","<=50K"
33,"Private","Bachelors","Craft-repair","Husband","White",0,0,37,"United-States","<=50K","<=50K"
64,"Private","Prof-school","Other-service","Own-child","White",0,0,30,"Canada","<=50K","<=50K"
58,"Private","College","Machine-op-inspct","Husband","White",0,0,40,"United-States",">50K","<=50K"
53,"Private","College","Handlers-cleaners","Own-child","Other",0,0,47,"United-States","<=50K","<=50K"
38,"Private","HS-grad","Craft-repair","Not-in-family","White",0,0,62,"United-States","<=50K","<=50K"
58,"Private","No-school","Exec-managerial","Unmarried","Black",0,0,52,"United-States","<=50K","<=50K"
49,"Private","HS-grad","Prof-specialty","Husband","White",0,0,36,"Mexico",">50K","<=50K"
48,"Private","No-school","Craft-repair","Husband","White",0,0,36,"United-States","<=50K","<=50K"
70,"Self-emp","HS-grad","Exec-managerial","Husband","White",0,0,28,"United-States","<=50K","<=50K"
25,"Private","College","Adm-clerical","Own-child","Black",0,0,26,"United-States","<=50K","<=50K"
45,"Private","HS-grad","Transport-moving","Unmarried","White",0,0,33,"India","<=50K","<=50K"
42,"Private","Bachelors","Prof-specialty","Own-child","White",0,0,57,"United-States",">50K",">50K"
43,"Self-emp","College","Prof-specialty","Own-child","White",0,0,40,"India",">50K","<=50K"
28,"Self-emp","No-school","Sales","Other-relative","White",0,0,44,"United-States","<=50K","<=50K"
21,"Private","Masters","Adm-clerical","Husband","White",0,1740,45,"United-States","<=50K",">50K"
38,"Private","Masters","Craft-repair","Own-child","White",0,0,37,"United-States","<=50K","<=50K"
64,"Private","Bachelors","Exec-managerial","Not-in-family","White",0,0,39,"United-States",">50K",">50K"
35,"Private","No-school","Adm-clerical","Husband","White",0,0,37,"Mexico","<=50K","<=50K"
34,"Private","College","Machine-op-inspct","Own-child","White",7298,0,58,"United-States","<=50K","<=50K"
46,"Private","No-school","Handlers-cleaners","Not-in-family","White",0,0,34,"United-States","<=50K","<=50K"
41,"Private","HS-grad","Other-service","Husband","White",7298,0,57,"United-States","<=50K","<=50K"
36,"Private","Masters","Machine-op-inspct","Not-in-family","White",0,0,62,"United-States",">50K",">50K"
44,"Private","No-school","Sales","Husband","White",0,0,40,"United-States","<=50K","<=50K"
47,"Self-emp","Prof-school","Other-service","Own-child","White",0,0,44,"France",">50K","<=50K"
27,"Private","No-school","Other-service","Husband","White",0,0,32,"United-States","<=50K","<=50K"
48,"Private","Prof-school","Exec-managerial","Unmarried","Asian-Pac-Islander",0,0,52,"United-States",">50K",">50K"
50,"Private","Bachelors","Adm-clerical","Husband","White",0,0,41,"United-States","<=50K","<=50K"
28,"Self-emp","No-school","Priv-house-serv","Husband","White",0,0,49,"United-States","<=50K","<=50K"
56,"Gov","Bachelors","Prof-specialty","Not-in-family","White",0,0,22,"United-States","<=50K",">50K"
59,"Gov","College","Handlers-cleaners","Husband","White",0,0,45,"United-States","<=50K","<=50K"
19,"Private","HS-grad","Exec-managerial","Wife","Asian-Pac-Islander",0,0,40,"Iran","<=50K","<=50K"
17,"Private","Bachelors","Adm-clerical","Husband","White",0,0,53,"United-States","<=50K","<=50K"
45,"Private","HS-grad","Sales","Not-in-family","White",0,0,35,"United-States",">50K","<=50K"
39,"Gov","Masters","Exec-managerial","Own-child","White",0,0,34,"United-States",">50K",">50K"
53,"Gov","No-school","Tech-support","Not-in-family","White",0,0,36,"United-States","<=50K","<=50K"
43,"Private","College","Craft-repair","Other-relative","White",0,2415,41,"United-States","<=50K","<=50K"
36,"Private","Bachelors","Other-service","Not-in-family","White",5178,0,52,"United-States",">50K","<=50K"
57,"Private","HS-grad","Farming-fishing","Own-child","White",0,0,37,"United-States","<=50K","<=50K"
25,"Gov","Masters","Prof-specialty","Husband","Other",0,0,49,"United-States",">50K",">50K"
37,"Private","College","Craft-repair","Own-child","White",0,0,22,"United-States","<=50K","<=50K"
38,"Gov","College","Machine-op-inspct","Not-in-family","White",0,0,52,"Italy",">50K","<=50K"
25,"Self-emp","Bachelors","Prof-specialty","Own-child","White",0,1740,29,"United-States","<=50K",">50K"
34,"Private","Bachelors","Sales","Husband","White",0,0,28,"United-States",">50K","<=50K"
53,"Private","HS-grad","Craft-repair","Wife","Other",0,0,41,"United-States","<=50K","<=50K"
44,"Private","College","Sales","Unmarried","White",0,0,31,"United-States","<=50K","<=50K"
40,"Gov","HS-grad","Other-service","Husband","White",0,0,46,"United-States",">50K","<=50K"
24,"Private","HS-grad","Other-service","Husband","White",2174,0,29,"United-States","<=50K","<=50K"
59,"Private","Bachelors","Transport-moving","Other-relative","White",99999,0,35,"United-States",">50K","<=50K"
53,"Self-emp","College","Prof-specialty","Other-relative","White",0,0,28,"United-States","<=50K","<=50K"
35,"Private","Doctorate","Craft-repair","Other-relative","White",0,0,37,"United-States","<=50K","<=50K"
32,"Private","HS-grad","Transport-moving","Own-child","White",0,0,47,"United-States","<=50K","<=50K"
25,"Private","HS-grad","Exec-managerial","Husband","Asian-Pac-Islander",0,0,59,"United-States","<=50K","<=50K"
22,"Private","College","Sales","Other-relative","White",0,0,39,"United-States","<=50K","<=50K"
35,"Private","HS-grad","Exec-managerial","Husband","White",0,0,20,"United-States","<=50K","<=50K"
40,"Gov","College","Prof-specialty","Own-child","Asian-Pac-Islander",0,1848,23,"United-States","<=50K","<=50K"
50,"Private","No-school","Exec-managerial","Not-in-family","White",0,0,38,"United-States","<=50K","<=50K"
